group_id,name_en,name_fr,source
604,"Base Set","Set de Base",pokepedia
1663,"Base Set (Shadowless)","Set de Base",bulbapedia
635,Jungle,Jungle,pokepedia
1418,"WoTC Promo","Promos WoTC",derived
630,Fossil,Fossile,pokepedia
605,"Base Set 2","Base Set 2",pokepedia
1373,"Team Rocket","Team Rocket",pokepedia
1441,"Gym Heroes","Gym Heroes",derived
1440,"Gym Challenge","Gym Challenge",pokepedia
1396,"Neo Genesis","Neo Genesis",pokepedia
1434,"Neo Discovery","Neo Discovery",pokepedia
648,"Southern Islands","Southern Islands",pokepedia
1389,"Neo Revelation","Neo Revelation",pokepedia
1444,"Neo Destiny","Neo Destiny",pokepedia
1374,"Legendary Collection","Legendary Collection",pokepedia
24493,"e-Reader Sample Cards","Cartes d'exemple e-Reader",derived
1375,Expedition,"Expedition Édition de Base",bulbapedia
1455,"Best of Promos","Promos Best of",derived
1397,Aquapolis,Aquapolis,pokepedia
1372,Skyridge,Skyridge,pokepedia
1393,"EX Ruby and Sapphire","EX Rubis & Saphir",pokepedia
1392,"EX Sandstorm","EX Tempête de sable",pokepedia
1376,"EX Dragon","EX Dragon",pokepedia
1377,"EX Team Magma vs Team Aqua","EX Team Magma VS Team Aqua",pokepedia
1416,"EX Hidden Legends","EX Légendes Oubliées",pokepedia
2214,"Kids WB Promos","Promos Kids WB",derived
1419,"EX FireRed & LeafGreen","EX Rouge Feu & Vert Feuille",pokepedia
1853,"EX Battle Stadium","Stade de Combat",bulbapedia
1428,"EX Team Rocket Returns","EX Team Rocket Returns",pokepedia
1404,"EX Deoxys","EX Deoxys",pokepedia
1410,"EX Emerald","EX Émeraude",pokepedia
1398,"EX Unseen Forces","EX Forces Cachées",pokepedia
1429,"EX Delta Species","EX Espèces Delta",pokepedia
1378,"EX Legend Maker","EX Créateurs de légendes",pokepedia
1379,"EX Holon Phantoms","EX Fantômes Holon",pokepedia
1395,"EX Crystal Guardians","EX Gardiens de Cristal",pokepedia
1411,"EX Dragon Frontiers","EX Île des Dragons",pokepedia
1383,"EX Power Keepers","EX Gardiens du Pouvoir",pokepedia
1421,"Diamond and Pearl Promos","Promos Diamant & Perle",derived
1430,"Diamond and Pearl","Diamant & Perle",pokepedia
1368,"Mysterious Treasures","Trésors Mystérieux",bulbapedia
1541,"DP Trainer Kit: Manaphy & Lucario","Kit du Dresseur DP : Manaphy et Lucario",derived
609,"DP Training Kit 1 Blue","Kit d'entraînement DP 1 Bleu",derived
610,"DP Training Kit 1 Gold","Kit d'entraînement DP 1 Or",derived
1380,"Secret Wonders","Merveilles Secrètes",bulbapedia
1405,"Great Encounters","Duels au Sommet",bulbapedia
1390,"Majestic Dawn","Aube Majestueuse",bulbapedia
1417,"Legends Awakened","Éveil des Légendes",bulbapedia
2155,"Countdown Calendar Promos","Promos Calendrier de l'Avent",derived
1369,Stormfront,Tempête,bulbapedia
1406,Platinum,Platine,pokepedia
1367,"Rising Rivals","Rivaux Émergeants",bulbapedia
1384,"Supreme Victors","Vainqueurs Suprêmes",bulbapedia
1391,Arceus,Arceus,derived
1433,Rumble,Rumble,derived
1453,"HGSS Promos","Promos HGSS",derived
1402,"HeartGold SoulSilver","HeartGold & SoulSilver",bulbapedia
1540,"HGSS Trainer Kit: Gyarados & Raichu","Kit du Dresseur HGSS : Léviator et Raichu",derived
1399,Unleashed,Déchaînement,bulbapedia
1403,Undaunted,Indomptable,bulbapedia
1381,Triumphant,Triomphe,bulbapedia
1415,"Call of Legends","L'Appel des Légendes",pokepedia
1400,"Black and White","Noir & Blanc",pokepedia
1407,"Black and White Promos","Promos Noir & Blanc",derived
1401,"McDonald's Promos 2011","Promos McDonald's 2011",derived
1424,"Emerging Powers","Pouvoirs Émergents",bulbapedia
1538,"BW Trainer Kit: Excadrill & Zoroark","Kit du Dresseur BW : Minotaupe et Zoroark",derived
1385,"Noble Victories","Nobles Victoires",bulbapedia
1412,"Next Destinies","Destinées Futures",bulbapedia
1386,"Dark Explorers","Explorateurs Obscurs",bulbapedia
1427,"McDonald's Promos 2012","Promos McDonald's 2012",derived
1394,"Dragons Exalted","Dragons Exaltés",bulbapedia
1426,"Dragon Vault","Coffre des Dragons",pokepedia
1408,"Boundaries Crossed","Frontières Franchies",bulbapedia
1413,"Plasma Storm","Tempête Plasma",bulbapedia
1382,"Plasma Freeze","Glaciation Plasma",bulbapedia
1370,"Plasma Blast","Explosion Plasma",bulbapedia
1409,"Legendary Treasures","Trésors Légendaires",bulbapedia
1465,"Legendary Treasures: Radiant Collection","Trésors Légendaires : Collection Radieuse",derived
1522,"Kalos Starter Set","Bienvenue à Kalos",pokepedia
1451,"XY Promos","Promos XY",derived
1387,"XY Base Set","Set de Base XY",derived
1532,"XY Trainer Kit: Sylveon & Noivern","Kit du Dresseur XY : Nymphali et Bruyverne",derived
1464,"XY - Flashfire",Étincelles,pokepedia
1692,"McDonald's Promos 2014","Promos McDonald's 2014",derived
1481,"XY - Furious Fists","Poings Furieux",pokepedia
1494,"XY - Phantom Forces","Vigueur Spectrale",pokepedia
1533,"XY Trainer Kit: Bisharp & Wigglytuff","XY Kit du Dresseur: Scalproie et Grodoudou",pokepedia
1509,"XY - Primal Clash",Primo-Choc,pokepedia
1525,"Double Crisis","Double Danger",pokepedia
1528,"Jumbo Cards","Cartes Jumbo",derived
1536,"XY Trainer Kit: Latias & Latios","Kit du Dresseur XY : Latias et Latios",derived
1534,"XY - Roaring Skies","Ciel Rugissant",pokepedia
1576,"XY - Ancient Origins","Origines Antiques",pokepedia
1661,"XY - BREAKthrough","Impulsion TURBO",pokepedia
1694,"McDonald's Promos 2015","Promos McDonald's 2015",derived
1701,"XY - BREAKpoint","Rupture TURBO",pokepedia
1728,Generations,Générations,pokepedia
1729,"Generations: Radiant Collection","Générations : Collection Radieuse",derived
1796,"XY Trainer Kit: Pikachu Libre & Suicune","XY Kit du Dresseur: Pikachu Catcheur et Suicune",pokepedia
1780,"XY - Fates Collide","Impact des Destins",pokepedia
1539,"League & Championship Cards","Cartes de Ligue et de Championnat",derived
1815,"XY - Steam Siege","Offensive Vapeur",pokepedia
3087,"McDonald's Promos 2016","Promos McDonald's 2016",derived
1840,"Deck Exclusives","Exclusivités de Deck",derived
1842,"XY - Evolutions",Évolutions,pokepedia
1861,"SM Promos","Promos SM",derived
1863,"SM Base Set","Set de Base SM",derived
23095,"Ash vs Team Rocket Deck Kit (JP Exclusive)","Kit de Decks Sacha contre la Team Rocket (exclusivité JP)",derived
2069,"SM Trainer Kit: Lycanroc & Alolan Raichu","Kit du Dresseur SM : Lougaroc et Raichu d'Alola",derived
1919,"SM - Guardians Rising","Gardiens Ascendants",pokepedia
1957,"SM - Burning Shadows","Ombres Ardentes",pokepedia
2054,"Shining Legends","Légendes Brillantes",pokepedia
2071,"SM - Crimson Invasion","Invasion Carmin",pokepedia
2148,"McDonald's Promos 2017","Promos McDonald's 2017",derived
2178,"SM - Ultra Prism",Ultra-Prisme,pokepedia
2208,"SM Trainer Kit: Alolan Sandslash & Alolan Ninetales","Kit du Dresseur SM : Sablaireau d'Alola et Feunard d'Alola",derived
2209,"SM - Forbidden Light","Lumière Interdite",pokepedia
2282,"World Championship Decks","Decks des Championnats du Monde",derived
2278,"SM - Celestial Storm","Tempête Céleste",pokepedia
2295,"Dragon Majesty","Majesté des Dragons",pokepedia
2328,"SM - Lost Thunder","Tonnerre Perdu",pokepedia
2364,"McDonald's Promos 2018","Promos McDonald's 2018",derived
2377,"SM - Team Up","Duo de Choc",pokepedia
2409,"Detective Pikachu","Détective Pikachu",pokepedia
2420,"SM - Unbroken Bonds","Alliance Infaillible",pokepedia
2464,"SM - Unified Minds","Harmonie des Esprits",pokepedia
