series,set_name,set_code,release_date,total_cards,set_id,logo_url,symbol_url
Base,Base,BS,1999-01-09,102,base1,https://images.pokemontcg.io/base1/logo.png,https://images.pokemontcg.io/base1/symbol.png
Base,Jungle,JU,1999-06-16,64,base2,https://images.pokemontcg.io/base2/logo.png,https://images.pokemontcg.io/base2/symbol.png
Base,Wizards Black Star Promos,PR,1999-07-01,53,basep,https://images.pokemontcg.io/basep/logo.png,https://images.pokemontcg.io/basep/symbol.png
Base,Fossil,FO,1999-10-10,62,base3,https://images.pokemontcg.io/base3/logo.png,https://images.pokemontcg.io/base3/symbol.png
Base,Base Set 2,B2,2000-02-24,130,base4,https://images.pokemontcg.io/base4/logo.png,https://images.pokemontcg.io/base4/symbol.png
Base,Team Rocket,TR,2000-04-24,83,base5,https://images.pokemontcg.io/base5/logo.png,https://images.pokemontcg.io/base5/symbol.png
Gym,Gym Heroes,G1,2000-08-14,132,gym1,https://images.pokemontcg.io/gym1/logo.png,https://images.pokemontcg.io/gym1/symbol.png
Gym,Gym Challenge,G2,2000-10-16,132,gym2,https://images.pokemontcg.io/gym2/logo.png,https://images.pokemontcg.io/gym2/symbol.png
Neo,Neo Genesis,N1,2000-12-16,111,neo1,https://images.pokemontcg.io/neo1/logo.png,https://images.pokemontcg.io/neo1/symbol.png
Neo,Neo Discovery,N2,2001-06-01,75,neo2,https://images.pokemontcg.io/neo2/logo.png,https://images.pokemontcg.io/neo2/symbol.png
Other,Southern Islands,si1,2001-07-31,18,si1,https://images.pokemontcg.io/si1/logo.png,https://images.pokemontcg.io/si1/symbol.png
Neo,Neo Revelation,N3,2001-09-21,66,neo3,https://images.pokemontcg.io/neo3/logo.png,https://images.pokemontcg.io/neo3/symbol.png
Neo,Neo Destiny,N4,2002-02-28,113,neo4,https://images.pokemontcg.io/neo4/logo.png,https://images.pokemontcg.io/neo4/symbol.png
Other,Legendary Collection,LC,2002-05-24,110,base6,https://images.pokemontcg.io/base6/logo.png,https://images.pokemontcg.io/base6/symbol.png
E-Card,Expedition Base Set,EX,2002-09-15,165,ecard1,https://images.pokemontcg.io/ecard1/logo.png,https://images.pokemontcg.io/ecard1/symbol.png
Other,Best of Game,BP,2002-12-01,9,bp,https://images.pokemontcg.io/bp/logo.png,https://images.pokemontcg.io/bp/symbol.png
E-Card,Aquapolis,AQ,2003-01-15,182,ecard2,https://images.pokemontcg.io/ecard2/logo.png,https://images.pokemontcg.io/ecard2/symbol.png
E-Card,Skyridge,SK,2003-05-12,182,ecard3,https://images.pokemontcg.io/ecard3/logo.png,https://images.pokemontcg.io/ecard3/symbol.png
EX,Ruby & Sapphire,RS,2003-07-01,109,ex1,https://images.pokemontcg.io/ex1/logo.png,https://images.pokemontcg.io/ex1/symbol.png
EX,Sandstorm,SS,2003-09-18,100,ex2,https://images.pokemontcg.io/ex2/logo.png,https://images.pokemontcg.io/ex2/symbol.png
NP,Nintendo Black Star Promos,PR-NP,2003-10-01,40,np,https://images.pokemontcg.io/np/logo.png,https://images.pokemontcg.io/np/symbol.png
EX,Dragon,DR,2003-11-24,100,ex3,https://images.pokemontcg.io/ex3/logo.png,https://images.pokemontcg.io/ex3/symbol.png
EX,Team Magma vs Team Aqua,MA,2004-03-01,97,ex4,https://images.pokemontcg.io/ex4/logo.png,https://images.pokemontcg.io/ex4/symbol.png
EX,Hidden Legends,HL,2004-06-01,102,ex5,https://images.pokemontcg.io/ex5/logo.png,https://images.pokemontcg.io/ex5/symbol.png
EX,EX Trainer Kit Latios,tk1b,2004-06-01,10,tk1b,https://images.pokemontcg.io/tk1b/logo.png,https://images.pokemontcg.io/tk1b/symbol.png
EX,EX Trainer Kit Latias,tk1a,2004-06-01,10,tk1a,https://images.pokemontcg.io/tk1a/logo.png,https://images.pokemontcg.io/tk1a/symbol.png
