page,name_fr,name_en,series_fr
"30e Anniversaire","30e Anniversaire","30th Celebration",Méga-Évolution
"Ambition de la Team Rocket (TCG2)","Ambition de la Team Rocket (TCG2)",,
Aquapolis,Aquapolis,Aquapolis,Wizards
"Base Set 2","Base Set 2","Base Set 2",Wizards
"Bataille Mentale (TCG2)","Bataille Mentale (TCG2)",,
"Best of Game","Best of Game","Best of Game",Wizards
"Box Topper","Box Topper","Box Topper",
"Carte Promo (TCG2)","Carte Promo (TCG2)",,
"Célébrations (JCC)",Célébrations,Celebrations,"Épée et Bouclier"
"Coffre des Dragons","Coffre des Dragons","Dragon Vault","Noir & Blanc"
"Colisée (TCG)","Colisée (TCG)",,
"Collection McDonald's 2011","Collection McDonald's 2011","McDonald's Collection 2011","Noir & Blanc"
"Collection McDonald's 2012","Collection McDonald's 2012","Collection McDonald's 2012","Noir & Blanc"
"Collection McDonald's 2013","Collection McDonald's 2013","McDonald's Collection 2013","Noir & Blanc"
"Collection McDonald's 2014","Collection McDonald's 2014","McDonald's Collection 2014",XY
"Collection McDonald's 2015","Collection McDonald's 2015","McDonald's Collection 2015",XY
"Collection McDonald's 2016","Collection McDonald's 2016","McDonald's Collection 2016",XY
"Collection McDonald's 2017","Collection McDonald's 2017","McDonald's Collection 2017","Soleil et Lune"
"Collection McDonald's 2018 (France)","Collection McDonald's 2018 (France)","McDonald's Collection 2018","Soleil et Lune"
"Collection McDonald's 2018 (International)","Collection McDonald's 2018 (International)","McDonald's Collection 2018","Soleil et Lune"
"Collection McDonald's 2019 (France)","Collection McDonald's 2019 (France)","McDonald's Collection 2019","Soleil et Lune"
"Collection McDonald's 2019 (International)","Collection McDonald's 2019 (International)","McDonald's Collection 2019","Soleil et Lune"
"Collection McDonald's 2021","Collection McDonald's 2021","McDonald's Collection 2021","Épée et Bouclier"
"Collection McDonald's 2024","Collection McDonald's 2024","McDonald's Collection 2024","Écarlate et Violet"
"Combat Express (2022)","Combat Express","Match Battle","Épée et Bouclier"
"Combat Express (2023)","Combat Express","Match Battle","Écarlate et Violet"
"Destinées Occultes","Destinées Occultes","Hidden Fates","Soleil et Lune"
"Destinées Radieuses","Destinées Radieuses","Shining Fates","Épée et Bouclier"
"Détective Pikachu (JCC)","Détective Pikachu","Detective Pikachu","Soleil et Lune"
"Diamant & Perle (JCC)","Diamant & Perle","Diamond & Pearl","Diamant & Perle"
"Diamant & Perle Aube Majestueuse","Diamant & Perle Aube Majestueuse","Diamond & Pearl Majestic Dawn","Diamant & Perle"
"Diamant & Perle Duels au sommet","Diamant & Perle Duels au sommet","Diamond & Pearl Great Encounters","Diamant & Perle"
"Diamant & Perle Éveil des Légendes","Diamant & Perle Éveil des Légendes","Diamond & Pearl Legends Awakened","Diamant & Perle"
"Diamant & Perle Kit Dresseur","Diamant & Perle Kit Dresseur","Diamond & Pearl Trainer Kit","Diamant & Perle"
"Diamant & Perle Merveilles Secrètes","Diamant & Perle Merveilles Secrètes","Diamond & Pearl Secret Wonders","Diamant & Perle"
"Diamant & Perle Tempête","Diamant & Perle Tempête","Diamond & Pearl Stormfront","Diamant & Perle"
"Diamant & Perle Trésors Mystérieux","Diamant & Perle Trésors Mystérieux","Diamond & Pearl Mysterious Treasures","Diamant & Perle"
"Double Danger","Double Danger","Double Crisis",XY
"Écarlate et Violet (JCC)","Écarlate et Violet","Scarlet & Violet","Écarlate et Violet"
"Écarlate et Violet 151","Écarlate et Violet 151",151,"Écarlate et Violet"
"Écarlate et Violet Aventures Ensemble","Écarlate et Violet Aventures Ensemble","Journey Together","Écarlate et Violet"
"Écarlate et Violet Couronne Stellaire","Écarlate et Violet Couronne Stellaire","Stellar Crown","Écarlate et Violet"
"Écarlate et Violet Destinées de Paldea","Écarlate et Violet Destinées de Paldea","Paldean Fates","Écarlate et Violet"
"Écarlate et Violet Énergie de base","Écarlate et Violet Énergie de base","Scarlet & Violet Basic Energy","Écarlate et Violet"
"Écarlate et Violet Étincelles Déferlantes","Écarlate et Violet Étincelles Déferlantes","Surging Sparks","Écarlate et Violet"
"Écarlate et Violet Évolutions à Paldea","Écarlate et Violet Évolutions à Paldea","Paldea Evolved","Écarlate et Violet"
