group_id,name_en,name_fr
604,"Base Set","Set de Base"
1663,"Base Set (Shadowless)","Set de Base"
635,Jungle,Jungle
1418,"WoTC Promo",
630,Fossil,Fossile
605,"Base Set 2",
1373,"Team Rocket","Team Rocket"
1441,"Gym Heroes",
1440,"Gym Challenge",
1396,"Neo Genesis","Neo Genesis"
1434,"Neo Discovery","Neo Discovery"
648,"Southern Islands",
1389,"Neo Revelation","Neo Revelation"
1444,"Neo Destiny","Neo Destiny"
1374,"Legendary Collection",
24493,"e-Reader Sample Cards",
1375,Expedition,"Expedition Édition de Base"
1455,"Best of Promos",
1397,Aquapolis,Aquapolis
1372,Skyridge,
1393,"EX Ruby and Sapphire","EX Rubis & Saphir"
1392,"EX Sandstorm","EX Tempête de Sable"
1376,"EX Dragon","EX Dragon"
1377,"EX Team Magma vs Team Aqua","EX Team Magma vs Team Aqua"
1416,"EX Hidden Legends","EX Légendes Oubliées"
2214,"Kids WB Promos",
1419,"EX FireRed & LeafGreen","EX Rouge Feu & Vert Feuille"
1853,"EX Battle Stadium","Stade de Combat"
1428,"EX Team Rocket Returns",
1404,"EX Deoxys","EX Deoxys"
1410,"EX Emerald","EX Émeraude"
1398,"EX Unseen Forces","EX Forces Cachées"
1429,"EX Delta Species","EX Espèces Delta"
1378,"EX Legend Maker","EX Créateurs de légendes"
1379,"EX Holon Phantoms","EX Fantômes Holon"
1395,"EX Crystal Guardians","EX Gardiens de Cristal"
1411,"EX Dragon Frontiers","EX Île des Dragons"
1383,"EX Power Keepers","EX Gardiens du Pouvoir"
1421,"Diamond and Pearl Promos",
1430,"Diamond and Pearl","Diamant & Perle"
1368,"Mysterious Treasures","Trésors Mystérieux"
1541,"DP Trainer Kit: Manaphy & Lucario",
609,"DP Training Kit 1 Blue",
610,"DP Training Kit 1 Gold",
1380,"Secret Wonders","Merveilles Secrètes"
1405,"Great Encounters","Duels au Sommet"
1390,"Majestic Dawn","Aube Majestueuse"
1417,"Legends Awakened","Éveil des Légendes"
2155,"Countdown Calendar Promos",
1369,Stormfront,Tempête
1406,Platinum,Platine
1367,"Rising Rivals","Rivaux Émergeants"
1384,"Supreme Victors","Vainqueurs Suprêmes"
1391,Arceus,
1433,Rumble,
1453,"HGSS Promos",
1402,"HeartGold SoulSilver","HeartGold & SoulSilver"
1540,"HGSS Trainer Kit: Gyarados & Raichu",
1399,Unleashed,Déchaînement
1403,Undaunted,Indomptable
1381,Triumphant,Triomphe
1415,"Call of Legends","L'Appel des Légendes"
1400,"Black and White","Noir & Blanc"
1407,"Black and White Promos",
1401,"McDonald's Promos 2011",
