name,dex_number,name_fr
Bulbasaur,1,Bulbizarre
Ivysaur,2,Herbizarre
Venusaur,3,Florizarre
Charmander,4,Salamèche
Charmeleon,5,Reptincel
Charizard,6,Dracaufeu
Squirtle,7,Carapuce
Wartortle,8,Carabaffe
Blastoise,9,Tortank
Caterpie,10,Chenipan
Metapod,11,Chrysacier
Butterfree,12,Papilusion
Weedle,13,Aspicot
Kakuna,14,Coconfort
Beedrill,15,Dardargnan
Pidgey,16,Roucool
Pidgeotto,17,Roucoups
Pidgeot,18,Roucarnage
Rattata,19,Rattata
Raticate,20,Rattatac
Spearow,21,Piafabec
Fearow,22,Rapasdepic
Ekans,23,Abo
Arbok,24,Arbok
Pikachu,25,Pikachu
Raichu,26,Raichu
Sandshrew,27,Sabelette
Sandslash,28,Sablaireau
Nidoran♀,29,Nidoran♀
Nidorina,30,Nidorina
Nidoqueen,31,Nidoqueen
Nidoran♂,32,Nidoran♂
Nidorino,33,Nidorino
Nidoking,34,Nidoking
Clefairy,35,Mélofée
Clefable,36,Mélodelfe
Vulpix,37,Goupix
Ninetales,38,Feunard
Jigglypuff,39,Rondoudou
Wigglytuff,40,Grodoudou
Zubat,41,Nosferapti
Golbat,42,Nosferalto
Oddish,43,Mystherbe
Gloom,44,Ortide
Vileplume,45,Rafflesia
Paras,46,Paras
Parasect,47,Parasect
Venonat,48,Mimitoss
Venomoth,49,Aéromite
Diglett,50,Taupiqueur
Dugtrio,51,Triopikeur
Meowth,52,Miaouss
Persian,53,Persian
Psyduck,54,Psykokwak
Golduck,55,Akwakwak
Mankey,56,Férosinge
Primeape,57,Colossinge
Growlithe,58,Caninos
Arcanine,59,Arcanin
Poliwag,60,Ptitard
Poliwhirl,61,Têtarte
Poliwrath,62,Tartard
Abra,63,Abra
Kadabra,64,Kadabra
Alakazam,65,Alakazam
Machop,66,Machoc
Machoke,67,Machopeur
Machamp,68,Mackogneur
Bellsprout,69,Chétiflor
Weepinbell,70,Boustiflor
Victreebel,71,Empiflor
Tentacool,72,Tentacool
Tentacruel,73,Tentacruel
Geodude,74,Racaillou
Graveler,75,Gravalanch
Golem,76,Grolem
Ponyta,77,Ponyta
Rapidash,78,Galopa
Slowpoke,79,Ramoloss
Slowbro,80,Flagadoss
Magnemite,81,Magnéti
Magneton,82,Magnéton
Farfetch'd,83,Canarticho
Doduo,84,Doduo
Dodrio,85,Dodrio
Seel,86,Otaria
Dewgong,87,Lamantine
Grimer,88,Tadmorv
Muk,89,Grotadmorv
Shellder,90,Kokiyas
Cloyster,91,Crustabri
Gastly,92,Fantominus
Haunter,93,Spectrum
Gengar,94,Ectoplasma
Onix,95,Onix
Drowzee,96,Soporifik
Hypno,97,Hypnomade
Krabby,98,Krabby
Kingler,99,Krabboss
Voltorb,100,Voltorbe
Electrode,101,Électrode
Exeggcute,102,Noeunoeuf
Exeggutor,103,Noadkoko
Cubone,104,Osselait
Marowak,105,Ossatueur
Hitmonlee,106,Kicklee
Hitmonchan,107,Tygnon
Lickitung,108,Excelangue
Koffing,109,Smogo
Weezing,110,Smogogo
Rhyhorn,111,Rhinocorne
Rhydon,112,Rhinoféros
Chansey,113,Leveinard
Tangela,114,Saquedeneu
Kangaskhan,115,Kangourex
Horsea,116,Hypotrempe
Seadra,117,Hypocéan
Goldeen,118,Poissirène
Seaking,119,Poissoroy
Staryu,120,Stari
Starmie,121,Staross
"Mr. Mime",122,"M. Mime"
Scyther,123,Insécateur
Jynx,124,Lippoutou
Electabuzz,125,Élektek
Magmar,126,Magmar
Pinsir,127,Scarabrute
Tauros,128,Tauros
Magikarp,129,Magicarpe
Gyarados,130,Léviator
Lapras,131,Lokhlass
Ditto,132,Métamorph
Eevee,133,Évoli
