reference,kind,pokemontcg_card_id,tcgplayer_product_id,tcgplayer_group_id,variant_key,tcgplayer_subtype
PKM-BS-1,single,base1-1,42346,604,holofoil,Holofoil
PKM-BS-2,single,base1-2,42360,604,holofoil,Holofoil
PKM-BS-3,single,base1-3,42371,604,holofoil,Holofoil
PKM-BS-4,single,base1-4,42382,604,holofoil,Holofoil
PKM-BS-5,single,base1-5,42393,604,holofoil,Holofoil
PKM-BS-6,single,base1-6,42404,604,holofoil,Holofoil
PKM-BS-10,single,base1-10,42347,604,holofoil,Holofoil
PKM-BS-11,single,base1-11,42351,604,holofoil,Holofoil
PKM-BS-13,single,base1-13,42353,604,holofoil,Holofoil
PKM-BS-14,single,base1-14,42354,604,holofoil,Holofoil
PKM-BS-15,single,base1-15,42355,604,holofoil,Holofoil
PKM-BS-16,single,base1-16,42356,604,holofoil,Holofoil
PKM-BS-29,single,base1-29,42370,604,normal,Normal
PKM-BS-32,single,base1-32,42374,604,normal,Normal
PKM-BS-33,single,base1-33,42375,604,normal,Normal
PKM-BS-39,single,base1-39,42381,604,normal,Normal
PKM-BS-85,single,base1-85,108646,604,normal,Normal
PKM-BS-88,single,base1-88,42431,604,normal,Normal
PKM-BS-90,single,base1-90,42434,604,normal,Normal
PKM-BS-93,single,base1-93,42437,604,normal,Normal
PKM-BS-95,single,base1-95,42439,604,normal,Normal
PKM-BS-100,single,base1-100,42348,604,normal,Normal
PKM-JU-1,single,base2-1,45120,635,1stEditionHolofoil,1st Edition Holofoil
PKM-JU-3,single,base2-3,45129,635,1stEditionHolofoil,1st Edition Holofoil
PKM-JU-4,single,base2-4,45130,635,1stEditionHolofoil,1st Edition Holofoil
PKM-JU-6,single,base2-6,45132,635,1stEditionHolofoil,1st Edition Holofoil
PKM-JU-7,single,base2-7,45133,635,1stEditionHolofoil,1st Edition Holofoil
PKM-JU-8,single,base2-8,45134,635,1stEditionHolofoil,1st Edition Holofoil
PKM-JU-9,single,base2-9,45135,635,1stEditionHolofoil,1st Edition Holofoil
PKM-JU-10,single,base2-10,45121,635,1stEditionHolofoil,1st Edition Holofoil
PKM-JU-11,single,base2-11,45122,635,1stEditionHolofoil,1st Edition Holofoil
PKM-JU-12,single,base2-12,45123,635,1stEditionHolofoil,1st Edition Holofoil
PKM-JU-13,single,base2-13,45124,635,1stEditionHolofoil,1st Edition Holofoil
PKM-JU-14,single,base2-14,45125,635,1stEditionHolofoil,1st Edition Holofoil
PKM-JU-15,single,base2-15,45126,635,1stEditionHolofoil,1st Edition Holofoil
PKM-JU-17,single,base2-17,106979,635,1stEdition,1st Edition
PKM-JU-29,single,base2-29,106991,635,1stEdition,1st Edition
PKM-JU-42,single,base2-42,45145,635,1stEdition,1st Edition
PKM-JU-45,single,base2-45,45148,635,1stEdition,1st Edition
PKM-JU-50,single,base2-50,45153,635,1stEdition,1st Edition
PKM-JU-53,single,base2-53,45156,635,1stEdition,1st Edition
PKM-JU-59,single,base2-59,45162,635,1stEdition,1st Edition
PKM-JU-62,single,base2-62,45165,635,1stEdition,1st Edition
PKM-JU-63,single,base2-63,45166,635,1stEdition,1st Edition
PKM-FO-2,single,base3-2,106518,630,1stEditionHolofoil,1st Edition Holofoil
PKM-FO-3,single,base3-3,106519,630,1stEditionHolofoil,1st Edition Holofoil
PKM-FO-4,single,base3-4,106520,630,1stEditionHolofoil,1st Edition Holofoil
PKM-FO-5,single,base3-5,106521,630,1stEditionHolofoil,1st Edition Holofoil
PKM-FO-6,single,base3-6,106522,630,1stEditionHolofoil,1st Edition Holofoil
PKM-FO-9,single,base3-9,106525,630,1stEditionHolofoil,1st Edition Holofoil
PKM-FO-10,single,base3-10,44419,630,1stEditionHolofoil,1st Edition Holofoil
PKM-FO-12,single,base3-12,44421,630,1stEditionHolofoil,1st Edition Holofoil
PKM-FO-14,single,base3-14,44423,630,1stEditionHolofoil,1st Edition Holofoil
