group_id,name,abbreviation,is_supplemental,published_on,year,logo_url
23721,Expansion Pack,,0,1996-10-20,1996,
23740,Expansion Pack (No Rarity),,0,1996-10-20,1996,
23722,Pokemon Jungle,,0,1997-03-05,1997,
23723,Mystery of the Fossils,,0,1997-06-21,1997,
23724,Rocket Gang,,0,1997-11-21,1997,
23726,Challenge from the Darkness,,0,1998-06-25,1998,
24175,City Gym Decks,,0,1998-07-25,1998,
24494,Player Placement Trainer Promos,No.PROMO,0,1998-08-01,1998,
23725,Leaders' Stadium,,0,1998-10-24,1998,
24597,Quick Starter Gift Set (Green Deck),,0,1998-12-01,1998,
24598,Quick Starter Gift Set (Red Deck),,0,1998-12-01,1998,
24168,Intro Pack (Bulbasaur),,0,1999-07-30,1999,
24169,Intro Pack (Squirtle),,0,1999-07-30,1999,
24019,Southern Island,SI,0,1999-07-30,1999,
24013,Neo Premium File 1,NPF1,0,1999-12-10,1999,
23727,"Gold, Silver, to a New World...",,0,2000-02-04,2000,
23728,Crossing the Ruins...,,0,2000-07-07,2000,
24017,Neo Premium File 2,NPF2,0,2000-07-07,2000,
23720,Awakening Legends,,0,2000-11-23,2000,
24018,Neo Premium File 3,NPF3,0,2000-11-23,2000,
24160,Intro Pack Neo (Chikorita),,0,2001-04-06,2001,
24161,Intro Pack Neo (Totodile),,0,2001-04-06,2001,
23729,"Darkness, and to Light...",,0,2001-04-20,2001,
24143,P Promotional cards,,0,2001-07-01,2001,
24142,J Promotional cards,,0,2001-08-01,2001,
24180,Pokemon VS,,0,2001-08-19,2001,
24141,Pokemon Web,,0,2001-10-20,2001,
23730,Base Expansion Pack,,0,2001-12-01,2001,
24167,Pokemon-e Starter Deck,,0,2001-12-01,2001,
24157,T Promotional cards,,0,2002-01-01,2002,
24156,McDonald's Pokémon-e Minimum Pack,,0,2002-01-26,2002,
23731,The Town on No Map,,0,2002-03-08,2002,
23732,Wind from the Sea,,0,2002-05-24,2002,
24150,Theater Limited VS Pack,,0,2002-07-13,2002,
23733,Split Earth,,0,2002-08-23,2002,
23734,Mysterious Mountains,,0,2002-10-04,2002,
24140,ADV-P Promotional cards,,0,2003-01-01,2003,
24155,PLAY Promotional cards,,0,2003-01-01,2003,
24129,ADV Expansion Pack,,0,2003-01-31,2003,
24131,Mudkip Constructed Starter Deck,,0,2003-01-31,2003,
24132,Torchic Constructed Starter Deck,,0,2003-01-31,2003,
24133,Treecko Constructed Starter Deck,,0,2003-01-31,2003,
24139,Miracle of the Desert,,0,2003-04-18,2003,
24125,Flygon Constructed Starter Deck,,0,2003-06-25,2003,
24128,Rulers of the Heavens,,0,2003-06-25,2003,
24126,Salamence Constructed Starter Deck,,0,2003-06-25,2003,
24149,Movie Commemoration VS Pack,,0,2003-07-19,2003,
24122,Aqua Deck Kit,,0,2003-10-24,2003,
24123,Magma Deck Kit,,0,2003-10-24,2003,
24124,Magma VS Aqua: Two Ambitions,,0,2003-10-24,2003,
24120,Gift Box (Latias),,0,2003-11-17,2003,
24121,Gift Box (Latios),,0,2003-11-17,2003,
24118,Metagross Constructed Starter Deck,,0,2004-01-16,2004,
24119,Undone Seal,,0,2004-01-16,2004,
24138,PCG-P Promotional cards,,0,2004-02-01,2004,
24612,Random Constructed Starter Decks (Venusaur/Charizard/Blastoise),,0,2004-03-19,2004,
24117,Flight of Legends,,0,2004-04-09,2004,
24114,Clash of the Blue Sky,,0,2004-07-01,2004,
24115,Deoxys Constructed Starter Deck,,0,2004-07-01,2004,
24116,Rayquaza Constructed Starter Deck,,0,2004-07-01,2004,
24503,Movie Commemoration VS Pack: Sky-Splitting Deoxys,,0,2004-07-17,2004,
24113,Silver Deck Kit,,0,2004-10-15,2004,
24134,Black Deck Kit,,0,2004-11-19,2004,
24127,Emerald Gift Box (Deoxys),,0,2004-11-19,2004,
24130,Emerald Gift Box (Rayquaza),,0,2004-11-19,2004,
24135,Rocket Gang Strikes Back,,0,2004-11-19,2004,
24107,Fighting Quick Construction Pack,,0,2005-01-16,2005,
24108,Fire Quick Construction Pack,,0,2005-01-16,2005,
24109,Grass Quick Construction Pack,,0,2005-01-16,2005,
24110,Lightning Quick Construction Pack,,0,2005-01-16,2005,
24111,Psychic Quick Construction Pack,,0,2005-01-16,2005,
24112,Water Quick Construction Pack,,0,2005-01-16,2005,
24104,Feraligatr Constructed Starter Deck,,0,2005-03-05,2005,
24105,Meganium Constructed Starter Deck,,0,2005-03-05,2005,
24106,Typhlosion Constructed Starter Deck,,0,2005-03-05,2005,
24153,PokéPark Blue,,0,2005-03-18,2005,
24154,PokePark Forest,,0,2005-03-18,2005,
24103,"Golden Sky, Silvery Ocean",,0,2005-04-08,2005,
24101,Mirage Forest,,0,2005-06-30,2005,
